Timestamp,Emotions,Sad,Neutral,Angry,Happy
1618530184.772498,['dummy'],300,1680,1420,520
1618530207.1200976,['dummy'],560,320,560,220
1618530228.9262664,['dummy'],1020,300,120,300
1618530250.8305027,['dummy'],1820,300,920,1560
1618530272.9156423,['dummy'],640,680,940,280
1618530295.0045843,['dummy'],780,1820,380,1900
1618530317.0706186,['dummy'],1740,2660,1420,460
1618530339.210877,['dummy'],940,1240,1960,1260
1618530361.5428402,['dummy'],1900,3320,1980,940
1618530383.4833918,['dummy'],1500,1800,1400,1860
1618530405.559909,['dummy'],1480,1960,1880,680
1618530427.8447428,['dummy'],1300,3140,840,1560
1618530449.9309878,['dummy'],1320,2660,620,280
1618530471.5908477,['dummy'],1740,40,880,1060
1618530494.0752268,['dummy'],20,2740,920,1800
1618530515.9726033,['dummy'],1680,3460,1840,40
1618530537.511187,['dummy'],60,2220,40,380
1618530559.2296772,['dummy'],280,1320,1360,1880
1618530581.6604679,['dummy'],280,2340,1860,1620
1618530603.2604074,['dummy'],500,3720,0,340
1618530625.5369916,['dummy'],1760,1540,220,1600
1618530647.6350965,['dummy'],500,2220,400,260
1618530669.7806802,['dummy'],520,700,1260,120
1618530691.868882,['dummy'],1160,960,620,880
1618530713.4316797,['dummy'],1420,1980,1740,1880
1618530735.7206266,['dummy'],1840,2500,360,140
1618530757.3300102,['dummy'],380,2320,1100,1500
1618530779.3074334,['dummy'],540,1960,760,1720
1618530800.9032304,['dummy'],400,1040,1920,740
1618530822.8132858,['dummy'],1900,2900,300,1620
1618530844.406198,['dummy'],740,2560,980,1660
1618530866.776002,['dummy'],0,2400,1520,1760
1618530888.807972,['dummy'],160,3200,1580,1080
1618530911.1257992,['dummy'],1720,520,1500,1240
1618530933.284327,['dummy'],300,1840,80,200
1618530955.4430323,['dummy'],920,1920,880,240
1618530976.9738982,['dummy'],1540,2020,140,1780
1618530999.1649716,['dummy'],1380,700,600,1600
1618531021.2839653,['dummy'],540,1620,0,60
1618531042.9653854,['dummy'],780,1840,240,400
1618531064.6115987,['dummy'],1360,1080,1040,320
1618531086.1313336,['dummy'],40,2660,340,1440
1618531108.2301886,['dummy'],1540,1180,1680,300
1618531129.736125,['dummy'],1080,3280,840,1620
1618531152.0858548,['dummy'],660,900,180,1320
1618531173.9464722,['dummy'],1720,3960,780,1620
1618531196.3037002,['dummy'],240,1460,1840,840
1618531218.3549876,['dummy'],980,1680,1920,1500
1618531240.0297241,['dummy'],680,2700,660,1900
1618531262.4945345,['dummy'],400,3380,1440,680
1618531284.9103243,['dummy'],600,520,360,880
1618531306.8177683,['dummy'],1800,2800,1060,460
1618531328.468433,['dummy'],1840,1360,120,1120
1618531350.0240242,['dummy'],1360,2160,940,1540
